kotid,kotname
1,Kabupaten Simeulue
2,Kabupaten Aceh Singkil
3,Kabupaten Aceh Selatan
4,Kabupaten Aceh Tenggara
5,Kabupaten Aceh Timur
6,Kabupaten Aceh Tengah
7,Kabupaten Aceh Barat
8,Kabupaten Aceh Besar
9,Kabupaten Pidie
10,Kabupaten Bireuen
11,Kabupaten Aceh Utara
12,Kabupaten Aceh Barat Daya
13,Kabupaten Gayo Lues
14,Kabupaten Aceh Tamiang
15,Kabupaten Nagan Raya
16,Kabupaten Aceh Jaya
17,Kabupaten Bener Meriah
18,Kabupaten Pidie Jaya
19,Kota Banda Aceh
20,Kota Sabang
21,Kota Langsa
22,Kota Lhokseumawe
23,Kota Subulussalam
24,Kabupaten Nias
25,Kabupaten Mandailing Natal
26,Kabupaten Tapanuli Selatan
27,Kabupaten Tapanuli Tengah
28,Kabupaten Tapanuli Utara
29,Kabupaten Toba Samosir
30,Kabupaten Labuhan Batu
31,Kabupaten Asahan
32,Kabupaten Simalungun
33,Kabupaten Dairi
34,Kabupaten Karo
35,Kabupaten Deli Serdang
36,Kabupaten Langkat
37,Kabupaten Nias Selatan
38,Kabupaten Humbang Hasundutan
39,Kabupaten Pakpak Bharat
40,Kabupaten Samosir
41,Kabupaten Serdang Bedagai
42,Kabupaten Batu Bara
43,Kabupaten Padang Lawas Utara
44,Kabupaten Padang Lawas
45,Kabupaten Labuhan Batu Selatan
46,Kabupaten Labuhan Batu Utara
47,Kabupaten Nias Utara
48,Kabupaten Nias Barat
49,Kota Sibolga
50,Kota Tanjung Balai
51,Kota Pematang Siantar
52,Kota Tebing Tinggi
53,Kota Medan
54,Kota Binjai
55,Kota Padangsidimpuan
56,Kota Gunungsitoli
57,Kabupaten Kepulauan Mentawai
58,Kabupaten Pesisir Selatan
59,Kabupaten Solok
60,Kabupaten Sijunjung
61,Kabupaten Tanah Datar
62,Kabupaten Padang Pariaman
63,Kabupaten Agam
64,Kabupaten Lima Puluh Kota
65,Kabupaten Pasaman
66,Kabupaten Solok Selatan
67,Kabupaten Dharmasraya
68,Kabupaten Pasaman Barat
69,Kota Padang
70,Kota Solok
71,Kota Sawah Lunto
72,Kota Padang Panjang
73,Kota Bukittinggi
74,Kota Payakumbuh
75,Kota Pariaman
76,Kabupaten Kuantan Singingi
77,Kabupaten Indragiri Hulu
78,Kabupaten Indragiri Hilir
79,Kabupaten Pelalawan
80,Kabupaten S I A K
81,Kabupaten Kampar
82,Kabupaten Rokan Hulu
83,Kabupaten Bengkalis
84,Kabupaten Rokan Hilir
85,Kabupaten Kepulauan Meranti
86,Kota Pekanbaru
87,Kota D U M A I
88,Kabupaten Kerinci
89,Kabupaten Merangin
90,Kabupaten Sarolangun
91,Kabupaten Batang Hari
92,Kabupaten Muaro Jambi
93,Kabupaten Tanjung Jabung Timur
94,Kabupaten Tanjung Jabung Barat
95,Kabupaten Tebo
96,Kabupaten Bungo
97,Kota Jambi
98,Kota Sungai Penuh
99,Kabupaten Ogan Komering Ulu
100,Kabupaten Ogan Komering Ilir
101,Kabupaten Muara Enim
102,Kabupaten Lahat
103,Kabupaten Musi Rawas
104,Kabupaten Musi Banyuasin
105,Kabupaten Banyu Asin
106,Kabupaten Ogan Komering Ulu Selatan
107,Kabupaten Ogan Komering Ulu Timur
108,Kabupaten Ogan Ilir
109,Kabupaten Empat Lawang
110,Kabupaten Penukal Abab Lematang Ilir
111,Kabupaten Musi Rawas Utara
112,Kota Palembang
113,Kota Prabumulih
114,Kota Pagar Alam
115,Kota Lubuklinggau
116,Kabupaten Bengkulu Selatan
117,Kabupaten Rejang Lebong
118,Kabupaten Bengkulu Utara
119,Kabupaten Kaur
120,Kabupaten Seluma
121,Kabupaten Mukomuko
122,Kabupaten Lebong
123,Kabupaten Kepahiang
124,Kabupaten Bengkulu Tengah
125,Kota Bengkulu
126,Kabupaten Lampung Barat
127,Kabupaten Tanggamus
128,Kabupaten Lampung Selatan
129,Kabupaten Lampung Timur
130,Kabupaten Lampung Tengah
131,Kabupaten Lampung Utara
132,Kabupaten Way Kanan
133,Kabupaten Tulangbawang
134,Kabupaten Pesawaran
135,Kabupaten Pringsewu
136,Kabupaten Mesuji
137,Kabupaten Tulang Bawang Barat
138,Kabupaten Pesisir Barat
